Date,Time,Visitor Team,VisitorPts,Home Team,HomePts,Score Type,OT,Attend,Notes,HomeWin,HomeNumWins,VisitorNumWins,HomeWins2020,VisitorWins2020
"Tue, Dec 22, 2020",7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,,1,0,0,35,15
"Tue, Dec 22, 2020",10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,,0,1,0,52,49
"Wed, Dec 23, 2020",7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,,1,1,1,19,23
"Wed, Dec 23, 2020",7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,,1,2,1,45,21
"Wed, Dec 23, 2020",7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,"3,396",,1,3,1,33,44
"Wed, Dec 23, 2020",7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,,1,4,1,43,25
"Wed, Dec 23, 2020",7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,"3,800",,0,5,1,53,30
"Wed, Dec 23, 2020",7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,,1,5,2,48,56
"Wed, Dec 23, 2020",8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,,0,6,2,22,20
"Wed, Dec 23, 2020",8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,,0,6,3,34,32
"Wed, Dec 23, 2020",8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,,1,6,4,19,20
"Wed, Dec 23, 2020",9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,,0,7,4,46,31
"Wed, Dec 23, 2020",10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,,0,7,5,35,44
"Wed, Dec 23, 2020",10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,,1,7,6,34,43
"Fri, Dec 25, 2020",12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,,1,8,6,44,30
"Fri, Dec 25, 2020",2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,,1,9,6,56,15
"Fri, Dec 25, 2020",5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,,0,10,6,48,35
"Fri, Dec 25, 2020",8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,,1,10,7,52,43
"Fri, Dec 25, 2020",10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,,0,11,7,46,49
"Sat, Dec 26, 2020",5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,,0,11,8,34,20
"Sat, Dec 26, 2020",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,,0,11,9,23,44
"Sat, Dec 26, 2020",7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,,0,11,10,20,19
"Sat, Dec 26, 2020",7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,,0,11,11,25,33
"Sat, Dec 26, 2020",7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,,0,11,12,21,43
"Sat, Dec 26, 2020",8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,,0,11,13,22,45
"Sat, Dec 26, 2020",8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,,1,11,14,32,53
"Sat, Dec 26, 2020",9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,"1,932",,0,12,14,44,19
"Sat, Dec 26, 2020",10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,,1,12,15,35,44
"Sat, Dec 26, 2020",10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,,1,13,15,31,34
"Sun, Dec 27, 2020",3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,,0,14,15,49,43
"Sun, Dec 27, 2020",7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,,1,14,16,30,32
"Sun, Dec 27, 2020",7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,,0,15,16,25,33
"Sun, Dec 27, 2020",7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,,1,15,17,23,35
"Sun, Dec 27, 2020",7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,,1,16,17,19,43
"Sun, Dec 27, 2020",7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,,1,17,17,21,56
